Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"183","'642","Romania","336","'01449.02","Hempseed","5419","Yield","1991","1991","hg/ha","643.000000","E"
"255","'056","Belgium","531","'01344.02","Cherries","5312","Area harvested","2015","2015","ha","1310.000000","A"
"173","'616","Poland","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5320","Producing Animals/Slaughtered","2008","2008","Head","1672681.000000","A"
"67","'246","Finland","372","'01214","Lettuce and chicory","5510","Production","1970","1970","tonnes",,"M"
"98","'191","Croatia","1729","'F1729","Treenuts, Total","5419","Yield","2011","2011","hg/ha","6187.000000","E"
"15","'058","Belgium-Luxembourg","122","'01530","Sweet potatoes","5312","Area harvested","1983","1983","ha",,"M"
"203","'724","Spain","420","'01243","Broad beans and horse beans, green","5510","Production","1984","1984","tonnes","127673.000000","A"
"126","'440","Lithuania","869","'21512","Cattle fat, unrendered","5510","Production","2010","2010","tonnes","1304.000000","I"
"183","'642","Romania","1037","'21511.01","Fat of pigs","5510","Production","1998","1998","tonnes","165163.000000","I"
"97","'348","Hungary","1182","'02910","Natural honey","5510","Production","2009","2009","tonnes","22500.000000","A"
"183","'642","Romania","1738","'F1738","Fruit Primary","5510","Production","1968","1968","tonnes","2340966.000000","E"
"174","'620","Portugal","260","'01450","Olives","5312","Area harvested","1963","1963","ha",,"M"
"183","'642","Romania","44","'0115","Barley","5510","Production","1973","1973","tonnes","729700.000000","A"
"79","'276","Germany","1182","'02910","Natural honey","5422","Yield","1981","1981","hg","125.000000","I"
"27","'100","Bulgaria","1043","'21521","Pig fat, rendered","5510","Production","1971","1971","tonnes","32112.000000","A"
"84","'300","Greece","406","'01252","Green garlic","5510","Production","2011","2011","tonnes","11999.000000","A"
"84","'300","Greece","773","'26190.01","Flax, processed but not spun","5510","Production","2019","2019","tonnes","0.000000","A"
"84","'300","Greece","334","'21691.12","Oil of linseed","5510","Production","1981","1981","tonnes","1300.000000","E"
"15","'058","Belgium-Luxembourg","56","'0112","Maize (corn)","5419","Yield","1961","1961","hg/ha","45204.000000","E"
"50","'196","Cyprus","1783","'F1783","Eggs Primary","5313","Laying","1994","1994","1000 Head","1100.000000","E"
"68","'250","France","1807","'F1807","Sheep and Goat Meat","5417","Yield/Carcass Weight","2006","2006","hg/An","174.000000","E"
"11","'040","Austria","1808","'F1808","Meat, Poultry","5321","Producing Animals/Slaughtered","1986","1986","1000 Head","56232.000000","E"
"106","'380","Italy","289","'01444","Sesame seed","5510","Production","2012","2012","tonnes","271.000000","I"
"27","'100","Bulgaria","677","'01659","Hop cones","5510","Production","2008","2008","tonnes","384.000000","A"
"255","'056","Belgium","420","'01243","Broad beans and horse beans, green","5312","Area harvested","2019","2019","ha","0.000000","A"
"11","'040","Austria","1058","'21121","Meat of chickens, fresh or chilled","5321","Producing Animals/Slaughtered","2009","2009","1000 Head","71344.000000","A"
"97","'348","Hungary","211","'01709.90","Other pulses n.e.c.","5419","Yield","2010","2010","hg/ha","5897.000000","E"
"203","'724","Spain","1072","'02153","Geese","5112","Stocks","1966","1966","1000 Head","46.000000","A"
"79","'276","Germany","420","'01243","Broad beans and horse beans, green","5510","Production","1990","1990","tonnes","4190.000000","A"
"54","'208","Denmark","157","'01801","Sugar beet","5419","Yield","1994","1994","hg/ha","475311.000000","E"
"51","'200","Czechoslovakia","977","'21115","Meat of sheep, fresh or chilled","5510","Production","1967","1967","tonnes","3303.000000","T"
"97","'348","Hungary","210","'01709.02","Lupins","5510","Production","2001","2001","tonnes","652.000000","A"
"50","'196","Cyprus","523","'01342.02","Quinces","5510","Production","1992","1992","tonnes","75.000000","A"
"150","'528","Netherlands","568","'01229","Cantaloupes and other melons","5419","Yield","2010","2010","hg/ha","316111.000000","E"
"63","'233","Estonia","897","'22211","Whole milk powder","5510","Production","2007","2007","tonnes","3700.000000","A"
"63","'233","Estonia","1746","'F1746","Cattle and Buffaloes","5111","Stocks","2019","2019","Head","254000.000000","E"
"199","'703","Slovakia","1166","'21170.92","Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","5510","Production","1998","1998","tonnes","900.000000","E"
"173","'616","Poland","75","'0117","Oats","5510","Production","1992","1992","tonnes","1229055.000000","A"
"68","'250","France","1037","'21511.01","Fat of pigs","5320","Producing Animals/Slaughtered","2008","2008","Head","25759700.000000","A"
"203","'724","Spain","1058","'21121","Meat of chickens, fresh or chilled","5510","Production","2001","2001","tonnes","1008531.000000","T"
"134","'470","Malta","399","'01233","Eggplants (aubergines)","5510","Production","1996","1996","tonnes",,"M"
"54","'208","Denmark","388","'01234","Tomatoes","5419","Yield","1999","1999","hg/ha","3925926.000000","E"
"68","'250","France","619","'01359.90","Other fruits, n.e.c.","5510","Production","1969","1969","tonnes",,"M"
"106","'380","Italy","919","'02951.01","Raw hides and skins of cattle","5420","Yield","1969","1969","hg/An","280.000000","T"
"15","'058","Belgium-Luxembourg","122","'01530","Sweet potatoes","5510","Production","1994","1994","tonnes","0.000000","A"
"79","'276","Germany","393","'01213","Cauliflowers and broccoli","5419","Yield","2016","2016","hg/ha","224111.000000","E"
"173","'616","Poland","108","'01199.90","Cereals n.e.c.","5419","Yield","2012","2012","hg/ha","22772.000000","E"
"54","'208","Denmark","919","'02951.01","Raw hides and skins of cattle","5510","Production","1988","1988","tonnes","22185.000000","I"
"97","'348","Hungary","544","'01354","Strawberries","5510","Production","2020","2020","tonnes","6140.000000","A"
"15","'058","Belgium-Luxembourg","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5419","Yield","1981","1981","hg/ha","293953.000000","E"
"104","'372","Ireland","417","'01242","Peas, green","5419","Yield","1976","1976","hg/ha","28571.000000","E"
"150","'528","Netherlands","103","'01199.02","Mixed grain","5312","Area harvested","1977","1977","ha","195.000000","A"
"106","'380","Italy","373","'01215","Spinach","5419","Yield","2016","2016","hg/ha","141313.000000","E"
"255","'056","Belgium","1058","'21121","Meat of chickens, fresh or chilled","5510","Production","2002","2002","tonnes","459076.000000","A"
"150","'528","Netherlands","402","'01253.01","Onions and shallots, green","5510","Production","1964","1964","tonnes",,"M"
"27","'100","Bulgaria","271","'21641.01","Rapeseed or canola oil, crude","5510","Production","1981","1981","tonnes",,"M"
"11","'040","Austria","236","'0141","Soya beans","5510","Production","2014","2014","tonnes","118132.000000","A"
"150","'528","Netherlands","388","'01234","Tomatoes","5312","Area harvested","1970","1970","ha","3764.000000","A"
"183","'642","Romania","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5312","Area harvested","1994","1994","ha","500.000000","E"
"150","'528","Netherlands","181","'01702","Broad beans and horse beans, dry","5419","Yield","2000","2000","hg/ha","57143.000000","E"
"255","'056","Belgium","692","'01658","Vanilla, raw","5312","Area harvested","2011","2011","ha",,"M"
"50","'196","Cyprus","430","'01239.01","Okra","5510","Production","1983","1983","tonnes","1050.000000","A"
"174","'620","Portugal","1729","'F1729","Treenuts, Total","5312","Area harvested","2018","2018","ha","147880.000000","E"
"79","'276","Germany","526","'01343","Apricots","5312","Area harvested","2005","2005","ha","53.000000","A"
"174","'620","Portugal","490","'01323","Oranges","5419","Yield","2018","2018","hg/ha","195089.000000","E"
"67","'246","Finland","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5510","Production","1985","1985","tonnes",,"M"
"183","'642","Romania","773","'26190.01","Flax, processed but not spun","5419","Yield","1991","1991","hg/ha","14244.000000","E"
"106","'380","Italy","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5419","Yield","1995","1995","hg/ha","280766.000000","E"
"106","'380","Italy","1140","'02191","Rabbits and hares","5112","Stocks","2004","2004","1000 Head","6343.000000","I"
"106","'380","Italy","523","'01342.02","Quinces","5510","Production","1993","1993","tonnes","909.000000","A"
"256","'442","Luxembourg","75","'0117","Oats","5510","Production","2005","2005","tonnes","7734.000000","A"
"183","'642","Romania","560","'01330","Grapes","5419","Yield","1973","1973","hg/ha","47124.000000","E"
"68","'250","France","534","'01345","Peaches and nectarines","5510","Production","1995","1995","tonnes","528455.000000","A"
"11","'040","Austria","373","'01215","Spinach","5510","Production","1965","1965","tonnes","1793.000000","A"
"63","'233","Estonia","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5419","Yield","2017","2017","hg/ha","2729.000000","E"
"84","'300","Greece","1808","'F1808","Meat, Poultry","5424","Yield/Carcass Weight","2019","2019","0.1g/An","16918.000000","E"
"183","'642","Romania","222","'01376","Walnuts, in shell","5312","Area harvested","2019","2019","ha","1620.000000","A"
"173","'616","Poland","258","'21691.14","Oil of palm kernel","5510","Production","1996","1996","tonnes","0.000000","I"
"84","'300","Greece","187","'01705","Peas, dry","5510","Production","2017","2017","tonnes","28509.000000","A"
"106","'380","Italy","83","'0114","Sorghum","5419","Yield","1967","1967","hg/ha","35084.000000","E"
"84","'300","Greece","1765","'F1765","Meat, Total","5510","Production","2000","2000","tonnes","470066.000000","E"
"68","'250","France","677","'01659","Hop cones","5312","Area harvested","1973","1973","ha","1322.000000","A"
"104","'372","Ireland","1723","'F1723","Sugar Crops Primary","5419","Yield","1979","1979","hg/ha","379090.000000","E"
"198","'705","Slovenia","523","'01342.02","Quinces","5510","Production","2014","2014","tonnes",,"M"
"203","'724","Spain","777","'01929.02","True hemp, raw or retted","5419","Yield","2009","2009","hg/ha","22000.000000","E"
"198","'705","Slovenia","222","'01376","Walnuts, in shell","5510","Production","2018","2018","tonnes","740.000000","A"
"98","'191","Croatia","979","'21514","Sheep fat, unrendered","5510","Production","2007","2007","tonnes","122.000000","I"
"27","'100","Bulgaria","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5419","Yield","2020","2020","hg/ha","17723.000000","E"
"167","'203","Czechia","1018","'21156","Edible offal of goat, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","1994","1994","Head","30000.000000","E"
"210","'752","Sweden","181","'01702","Broad beans and horse beans, dry","5312","Area harvested","2019","2019","ha","18190.000000","A"
"11","'040","Austria","900","'22130.02","Whey, dry","5510","Production","2002","2002","tonnes","12540.000000","I"
"134","'470","Malta","1804","'F1804","Citrus Fruit, Total","5510","Production","1986","1986","tonnes","1900.000000","E"
"11","'040","Austria","530","'01344.01","Sour cherries","5419","Yield","2016","2016","hg/ha","51325.000000","E"
"167","'203","Czechia","89","'01192","Buckwheat","5419","Yield","1998","1998","hg/ha","16667.000000","E"
"183","'642","Romania","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5419","Yield","2011","2011","hg/ha","126746.000000","E"
"229","'826","United Kingdom of Great Britain and Northern Ireland","211","'01709.90","Other pulses n.e.c.","5312","Area harvested","1974","1974","ha","50369.000000","T"
"11","'040","Austria","888","'22110.02","Skim milk of cows","5510","Production","1979","1979","tonnes","959504.800000","I"
"68","'250","France","116","'01510","Potatoes","5510","Production","1983","1983","tonnes","5731000.000000","A"
"15","'058","Belgium-Luxembourg","459","'01691","Chicory roots","5312","Area harvested","1963","1963","ha","1169.000000","A"
"203","'724","Spain","536","'01346","Plums and sloes","5510","Production","1973","1973","tonnes","85200.000000","A"
"183","'642","Romania","334","'21691.12","Oil of linseed","5510","Production","1985","1985","tonnes","10857.220000","I"
"27","'100","Bulgaria","1108","'21118.02","Meat of asses, fresh or chilled","5320","Producing Animals/Slaughtered","1977","1977","Head","3468.000000","A"
"84","'300","Greece","486","'01312","Bananas","5510","Production","2004","2004","tonnes","3956.000000","A"
"97","'348","Hungary","1019","'21515","Goat fat, unrendered","5320","Producing Animals/Slaughtered","2019","2019","Head","17630.000000","A"
"51","'200","Czechoslovakia","103","'01199.02","Mixed grain","5312","Area harvested","1974","1974","ha","8896.000000","A"
"50","'196","Cyprus","531","'01344.02","Cherries","5419","Yield","1979","1979","hg/ha","40593.000000","E"
"84","'300","Greece","882","'02211","Raw milk of cattle","5318","Milk Animals","2009","2009","Head","212000.000000","T"
"203","'724","Spain","280","'01446","Safflower seed","5510","Production","1963","1963","tonnes","20000.000000","E"
"11","'040","Austria","1720","'F1720","Roots and Tubers, Total","5419","Yield","1974","1974","hg/ha","242553.000000","E"
"84","'300","Greece","767","'01921.02","Cotton lint, ginned","5510","Production","2010","2010","tonnes","183800.000000","T"
"11","'040","Austria","987","'02941","Shorn wool, greasy, including fleece-washed shorn wool","5510","Production","2005","2005","tonnes","664.000000","A"
"173","'616","Poland","1185","'02944","Silk-worm cocoons suitable for reeling","5510","Production","2014","2014","tonnes",,"M"
"199","'703","Slovakia","1043","'21521","Pig fat, rendered","5510","Production","2016","2016","tonnes","13121.000000","I"
"198","'705","Slovenia","1018","'21156","Edible offal of goat, fresh, chilled or frozen","5510","Production","2008","2008","tonnes","64.000000","I"
"79","'276","Germany","417","'01242","Peas, green","5510","Production","1988","1988","tonnes","43000.000000","A"
"126","'440","Lithuania","406","'01252","Green garlic","5419","Yield","2020","2020","hg/ha","21250.000000","E"
"203","'724","Spain","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5312","Area harvested","1974","1974","ha",,"M"
"79","'276","Germany","1062","'0231","Hen eggs in shell, fresh","5410","Yield","1992","1992","100mg/An","162132.000000","E"
"167","'203","Czechia","237","'2161","Soya bean oil","5510","Production","1995","1995","tonnes","3000.000000","T"
"174","'620","Portugal","281","'21631.02","Safflower-seed oil, crude","5510","Production","1998","1998","tonnes","161.920000","I"
"203","'724","Spain","426","'01251","Carrots and turnips","5419","Yield","1988","1988","hg/ha","339119.000000","E"
"11","'040","Austria","1783","'F1783","Eggs Primary","5410","Yield","1972","1972","100mg/An","116953.000000","E"
"106","'380","Italy","27","'0113","Rice","5419","Yield","1985","1985","hg/ha","60520.000000","E"
"174","'620","Portugal","1841","'F1841","Oilcrops, Cake Equivalent","5510","Production","1986","1986","tonnes","27886.000000","E"
"68","'250","France","899","'22230.04","Buttermilk, dry","5510","Production","1992","1992","tonnes","24580.000000","A"
"167","'203","Czechia","1242","'21700.02","Margarine and shortening","5510","Production","2008","2008","tonnes","90000.000000","T"
"203","'724","Spain","497","'01322","Lemons and limes","5419","Yield","1983","1983","hg/ha","140154.000000","E"
"183","'642","Romania","947","'21112","Meat of buffalo, fresh or chilled","5320","Producing Animals/Slaughtered","1981","1981","Head",,"M"
"11","'040","Austria","187","'01705","Peas, dry","5312","Area harvested","1996","1996","ha","30782.000000","A"
"126","'440","Lithuania","406","'01252","Green garlic","5510","Production","2005","2005","tonnes","1972.000000","A"
"97","'348","Hungary","1717","'F1717","Cereals, Total","5312","Area harvested","1981","1981","ha","2790159.000000","E"
"134","'470","Malta","1020","'02292","Raw milk of goats","5420","Yield","2015","2015","hg/An","3094.000000","E"
"174","'620","Portugal","777","'01929.02","True hemp, raw or retted","5312","Area harvested","1973","1973","ha",,"M"
"98","'191","Croatia","536","'01346","Plums and sloes","5419","Yield","2007","2007","hg/ha","45410.000000","E"
"173","'616","Poland","995","'02953","Raw hides and skins of sheep or lambs","5420","Yield","2002","2002","hg/An","54.000000","E"
"183","'642","Romania","336","'01449.02","Hempseed","5419","Yield","2004","2004","hg/ha","1000.000000","E"
"27","'100","Bulgaria","71","'0116","Rye","5419","Yield","1988","1988","hg/ha","19419.000000","E"
"68","'250","France","56","'0112","Maize (corn)","5510","Production","1970","1970","tonnes","7491000.000000","A"
"198","'705","Slovenia","339","'01449.90","Other oil seeds, n.e.c.","5419","Yield","2020","2020","hg/ha","6802.000000","E"
"54","'208","Denmark","530","'01344.01","Sour cherries","5312","Area harvested","1998","1998","ha","2490.000000","A"
"106","'380","Italy","1738","'F1738","Fruit Primary","5510","Production","1976","1976","tonnes","20682569.000000","E"
"68","'250","France","560","'01330","Grapes","5419","Yield","2015","2015","hg/ha","83212.000000","E"
"97","'348","Hungary","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5510","Production","2008","2008","tonnes","67364.000000","A"
"50","'196","Cyprus","1080","'21124","Meat of turkeys, fresh or chilled","5424","Yield/Carcass Weight","1972","1972","0.1g/An","55000.000000","I"
"183","'642","Romania","1765","'F1765","Meat, Total","5510","Production","1996","1996","tonnes","1187698.000000","E"
"134","'470","Malta","1097","'21118.01","Horse meat, fresh or chilled","5510","Production","1961","1961","tonnes","85.000000","E"
"97","'348","Hungary","550","'01351.01","Currants","5510","Production","1979","1979","tonnes","13158.000000","A"
"119","'428","Latvia","515","'01341","Apples","5419","Yield","2016","2016","hg/ha","40090.000000","E"
"150","'528","Netherlands","777","'01929.02","True hemp, raw or retted","5312","Area harvested","1977","1977","ha",,"M"
"27","'100","Bulgaria","75","'0117","Oats","5312","Area harvested","1988","1988","ha","27304.000000","A"
"183","'642","Romania","977","'21115","Meat of sheep, fresh or chilled","5510","Production","1985","1985","tonnes","78000.000000","T"
"203","'724","Spain","919","'02951.01","Raw hides and skins of cattle","5320","Producing Animals/Slaughtered","1990","1990","Head","2065220.000000","A"
"174","'620","Portugal","868","'21151","Edible offal of cattle, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2015","2015","Head","363205.000000","A"
"173","'616","Poland","1034","'02140","Swine / pigs","5111","Stocks","2020","2020","Head","11727400.000000","A"
"173","'616","Poland","1182","'02910","Natural honey","5510","Production","1990","1990","tonnes","13794.000000","A"
"50","'196","Cyprus","919","'02951.01","Raw hides and skins of cattle","5420","Yield","2002","2002","hg/An","318.000000","E"
"68","'250","France","1025","'02954","Raw hides and skins of goats or kids","5510","Production","2014","2014","tonnes","302.000000","I"
"79","'276","Germany","1017","'21116","Meat of goat, fresh or chilled","5417","Yield/Carcass Weight","2016","2016","hg/An","180.000000","E"
"106","'380","Italy","490","'01323","Oranges","5510","Production","2004","2004","tonnes","2105053.000000","A"
"203","'724","Spain","270","'01443","Rape or colza seed","5312","Area harvested","1972","1972","ha","18.000000","A"
"229","'826","United Kingdom of Great Britain and Northern Ireland","1807","'F1807","Sheep and Goat Meat","5417","Yield/Carcass Weight","1996","1996","hg/An","187.000000","E"
"173","'616","Poland","1080","'21124","Meat of turkeys, fresh or chilled","5510","Production","2007","2007","tonnes","90000.000000","E"
"183","'642","Romania","564","'24212.02","Wine","5510","Production","2000","2000","tonnes","545300.000000","A"
"84","'300","Greece","536","'01346","Plums and sloes","5419","Yield","1974","1974","hg/ha","285550.000000","I"
"203","'724","Spain","560","'01330","Grapes","5510","Production","1977","1977","tonnes","3575000.000000","A"
"134","'470","Malta","1807","'F1807","Sheep and Goat Meat","5320","Producing Animals/Slaughtered","1983","1983","Head","2695.000000","E"
"199","'703","Slovakia","211","'01709.90","Other pulses n.e.c.","5510","Production","2016","2016","tonnes","1290.000000","A"
"27","'100","Bulgaria","27","'0113","Rice","5419","Yield","2015","2015","hg/ha","54540.000000","E"
"210","'752","Sweden","463","'01290.90","Other vegetables, fresh n.e.c.","5510","Production","1981","1981","tonnes","31135.000000","A"
"97","'348","Hungary","531","'01344.02","Cherries","5312","Area harvested","2005","2005","ha","2090.000000","A"
"199","'703","Slovakia","1025","'02954","Raw hides and skins of goats or kids","5510","Production","2000","2000","tonnes","235.000000","I"
"97","'348","Hungary","978","'21155","Edible offal of sheep, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2013","2013","Head","47417.000000","A"
"183","'642","Romania","406","'01252","Green garlic","5419","Yield","2015","2015","hg/ha","59693.000000","E"
"183","'642","Romania","236","'0141","Soya beans","5510","Production","1979","1979","tonnes","383250.000000","A"
"106","'380","Italy","1780","'F1780","Milk, Total","5318","Milk Animals","1990","1990","Head","11098700.000000","E"
"210","'752","Sweden","1079","'02152","Turkeys","5112","Stocks","1989","1989","1000 Head","290.000000","E"
"27","'100","Bulgaria","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5312","Area harvested","1997","1997","ha","10594.000000","A"
"50","'196","Cyprus","1025","'02954","Raw hides and skins of goats or kids","5320","Producing Animals/Slaughtered","2012","2012","Head","121208.000000","A"
"173","'616","Poland","919","'02951.01","Raw hides and skins of cattle","5320","Producing Animals/Slaughtered","1975","1975","Head","4864200.000000","A"
"203","'724","Spain","577","'01314","Dates","5312","Area harvested","1994","1994","ha","456.000000","A"
"198","'705","Slovenia","89","'01192","Buckwheat","5419","Yield","2012","2012","hg/ha","7995.000000","E"
"79","'276","Germany","826","'01970","Unmanufactured tobacco","5312","Area harvested","1986","1986","ha","6761.000000","A"
"68","'250","France","1804","'F1804","Citrus Fruit, Total","5312","Area harvested","1965","1965","ha","1223.000000","E"
"54","'208","Denmark","394","'01235","Pumpkins, squash and gourds","5419","Yield","1967","1967","hg/ha","106111.000000","E"
"50","'196","Cyprus","1025","'02954","Raw hides and skins of goats or kids","5510","Production","1996","1996","tonnes","998.000000","I"
"15","'058","Belgium-Luxembourg","515","'01341","Apples","5312","Area harvested","1987","1987","ha","6200.000000","A"
"84","'300","Greece","560","'01330","Grapes","5419","Yield","1964","1964","hg/ha","56688.000000","E"
"27","'100","Bulgaria","71","'0116","Rye","5510","Production","1969","1969","tonnes","28631.000000","A"
"97","'348","Hungary","201","'01704","Lentils, dry","5312","Area harvested","1979","1979","ha","349.000000","A"
"104","'372","Ireland","44","'0115","Barley","5510","Production","1968","1968","tonnes","752400.000000","A"
"11","'040","Austria","552","'01355.01","Blueberries","5419","Yield","2019","2019","hg/ha","67500.000000","E"
"173","'616","Poland","1717","'F1717","Cereals, Total","5510","Production","2003","2003","tonnes","23390757.000000","E"
"229","'826","United Kingdom of Great Britain and Northern Ireland","420","'01243","Broad beans and horse beans, green","5510","Production","1985","1985","tonnes","62694.000000","A"
"84","'300","Greece","397","'01232","Cucumbers and gherkins","5510","Production","1962","1962","tonnes","47567.000000","A"
"79","'276","Germany","1080","'21124","Meat of turkeys, fresh or chilled","5424","Yield/Carcass Weight","1968","1968","0.1g/An","86667.000000","E"
"210","'752","Sweden","420","'01243","Broad beans and horse beans, green","5312","Area harvested","2001","2001","ha",,"M"
"11","'040","Austria","463","'01290.90","Other vegetables, fresh n.e.c.","5510","Production","1961","1961","tonnes","267000.000000","A"
"63","'233","Estonia","568","'01229","Cantaloupes and other melons","5312","Area harvested","2019","2019","ha","0.000000","A"
"11","'040","Austria","1738","'F1738","Fruit Primary","5312","Area harvested","1974","1974","ha","50687.000000","E"
"150","'528","Netherlands","1723","'F1723","Sugar Crops Primary","5419","Yield","2010","2010","hg/ha","748361.000000","E"
"134","'470","Malta","869","'21512","Cattle fat, unrendered","5510","Production","1998","1998","tonnes","58.000000","I"
"97","'348","Hungary","265","'01447","Castor oil seeds","5510","Production","2000","2000","tonnes",,"M"
"173","'616","Poland","426","'01251","Carrots and turnips","5510","Production","2004","2004","tonnes","927949.000000","A"
"11","'040","Austria","1141","'21114","Meat of rabbits and hares, fresh or chilled","5321","Producing Animals/Slaughtered","1979","1979","1000 Head","297.000000","E"
"126","'440","Lithuania","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5419","Yield","2003","2003","hg/ha","10595.000000","E"
"134","'470","Malta","417","'01242","Peas, green","5510","Production","2012","2012","tonnes","130.000000","A"
"54","'208","Denmark","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5510","Production","2007","2007","tonnes","55000.000000","E"
"84","'300","Greece","882","'02211","Raw milk of cattle","5420","Yield","2014","2014","hg/An","45854.000000","E"
"97","'348","Hungary","367","'01211","Asparagus","5510","Production","1991","1991","tonnes","1500.000000","E"
"126","'440","Lithuania","407","'01254","Leeks and other alliaceous vegetables","5510","Production","1998","1998","tonnes",,"M"
"51","'200","Czechoslovakia","515","'01341","Apples","5312","Area harvested","1967","1967","ha",,"M"
"173","'616","Poland","1097","'21118.01","Horse meat, fresh or chilled","5417","Yield/Carcass Weight","1980","1980","hg/An","3445.000000","T"
"167","'203","Czechia","459","'01691","Chicory roots","5312","Area harvested","2016","2016","ha",,"M"
"173","'616","Poland","394","'01235","Pumpkins, squash and gourds","5312","Area harvested","2018","2018","ha","2550.000000","A"
"203","'724","Spain","507","'01321","Pomelos and grapefruits","5419","Yield","1984","1984","hg/ha","144725.000000","E"
"106","'380","Italy","205","'01709.01","Vetches","5419","Yield","2017","2017","hg/ha","11628.000000","E"
"119","'428","Latvia","417","'01242","Peas, green","5419","Yield","2011","2011","hg/ha","21698.000000","E"
"11","'040","Austria","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1963","1963","tonnes","440.690000","I"
"27","'100","Bulgaria","417","'01242","Peas, green","5419","Yield","1981","1981","hg/ha","19518.000000","E"
"183","'642","Romania","773","'26190.01","Flax, processed but not spun","5312","Area harvested","1992","1992","ha","11371.000000","A"
"106","'380","Italy","290","'21691.07","Oil of sesame seed","5510","Production","1964","1964","tonnes","13010.000000","A"
"106","'380","Italy","1808","'F1808","Meat, Poultry","5424","Yield/Carcass Weight","1999","1999","0.1g/An","20882.000000","E"
"229","'826","United Kingdom of Great Britain and Northern Ireland","244","'2162","Groundnut oil","5510","Production","1963","1963","tonnes","80900.000000","A"
"51","'200","Czechoslovakia","373","'01215","Spinach","5312","Area harvested","1977","1977","ha","1151.000000","A"
"173","'616","Poland","1816","'F1816","Evaporat&Condensed Milk","5510","Production","1972","1972","tonnes","8200.000000","E"
"54","'208","Denmark","1034","'02140","Swine / pigs","5111","Stocks","2010","2010","Head","13173060.000000","A"
"104","'372","Ireland","1073","'21123","Meat of geese, fresh or chilled","5424","Yield/Carcass Weight","2002","2002","0.1g/An","40000.000000","E"
"210","'752","Sweden","1058","'21121","Meat of chickens, fresh or chilled","5510","Production","1998","1998","tonnes","86900.000000","A"
"68","'250","France","71","'0116","Rye","5419","Yield","2011","2011","hg/ha","44968.000000","E"
"27","'100","Bulgaria","420","'01243","Broad beans and horse beans, green","5312","Area harvested","1993","1993","ha","370.000000","E"
"51","'200","Czechoslovakia","619","'01359.90","Other fruits, n.e.c.","5510","Production","1970","1970","tonnes","10000.000000","E"
"229","'826","United Kingdom of Great Britain and Northern Ireland","358","'01212","Cabbages","5510","Production","1964","1964","tonnes","734604.000000","A"
"54","'208","Denmark","56","'0112","Maize (corn)","5510","Production","2019","2019","tonnes","40820.000000","A"
"150","'528","Netherlands","463","'01290.90","Other vegetables, fresh n.e.c.","5510","Production","1987","1987","tonnes","352000.000000","A"
"183","'642","Romania","1841","'F1841","Oilcrops, Cake Equivalent","5510","Production","1984","1984","tonnes","780724.000000","E"
"97","'348","Hungary","1729","'F1729","Treenuts, Total","5510","Production","2005","2005","tonnes","4133.000000","E"
"150","'528","Netherlands","399","'01233","Eggplants (aubergines)","5312","Area harvested","2018","2018","ha","110.000000","A"
"210","'752","Sweden","547","'01353.01","Raspberries","5419","Yield","2020","2020","hg/ha","31667.000000","E"
"11","'040","Austria","44","'0115","Barley","5419","Yield","1962","1962","hg/ha","28830.000000","E"
"150","'528","Netherlands","1806","'F1806","Beef and Buffalo Meat","5417","Yield/Carcass Weight","1984","1984","hg/An","2056.000000","E"
"79","'276","Germany","296","'01448","Poppy seed","5510","Production","1982","1982","tonnes","3706.000000","A"
"68","'250","France","547","'01353.01","Raspberries","5419","Yield","1979","1979","hg/ha","57500.000000","I"
"106","'380","Italy","329","'0143","Cotton seed","5510","Production","1967","1967","tonnes","3880.000000","A"
"255","'056","Belgium","1723","'F1723","Sugar Crops Primary","5312","Area harvested","2017","2017","ha","62470.000000","E"
"106","'380","Italy","536","'01346","Plums and sloes","5312","Area harvested","2005","2005","ha","12902.000000","A"
"50","'196","Cyprus","44","'0115","Barley","5419","Yield","2009","2009","hg/ha","17863.000000","E"
"106","'380","Italy","957","'02951.03","Raw hides and skins of buffaloes","5420","Yield","2014","2014","hg/An","321.000000","E"
"106","'380","Italy","955","'22252","Cheese from milk of buffalo, fresh or processed","5510","Production","1989","1989","tonnes","10450.050000","I"
